Order,Text,AUDIOTEXT,TXTGRDTXT,StartTime,EndTime,stem,,LogFrqHAL,Close Brackets 3,Close Brackets Truncated,TDP,BUP,TDX,BUX,TDXStack,BUXStack,TDPennStack,BUPennStack,LexFunc,POS,EARLYX_SURPRISAL,Ngram Text,Ngram POS,2-gram lex,3-gram lex,2-gram pos,3-gram pos,Break Strength (post-word),Word,StartTimeCorrected,EndTimeCorrected,,TB-word,TB-arclabel,,TB-full-word,TB-full-arclabel
23,or,or,or,"27,4391","27,5584",or,,"14,78",1,1,2,2,2,1,4,3,4,2,0,minor,"5,975040104",or,CC,"4,436401751","2,798877229","4,428728098","4,41524107",0,or,27.470734987068912,27.522210323164042,,or,AMOD,,or,AMOD
24,twice,twice,twice,"27,5584","28,0168",two,,"10,74",3,3,3,4,1,1,3,4,3,3,1,RB|JJ,"7,972486595",twice,RB,"5,615719444","0,9098295982","3,116921946","1,875912727",3,twice,27.522210323164042,28.008886228063453,,twice,AMOD,,twice,AMOD
25,she,she,she,"28,0168","28,3201",she,,"13,1",2,2,3,3,2,3,3,3,2,2,0,minor,"3,992001208",she,PRP,"4,211772974","4,383848849","3,631830767","2,205315117",0,she,28.008886228063453,28.327097396651528,,she,SUB,,she,SUB
26,had,,,,,had,,"13,53",1,1,3,2,3,1,4,4,2,3,0,VB,"4,138212602",had,VBD,"3,208294901","2,798877229","1,639557543","1,450426889",1,had,28.327097396651528,28.359854428712065,,had,VMOD,,had,VMOD
27,peaked,peeped,peeped,"28,3201","28,6177",peak,,"6,48",1,1,3,2,12,9,3,8,2,4,1,VB,"9,748515132",peeped,VBN,"9,429027143","8,705776958","4,133807321","3,654884948",2,peeped,28.359854428712065,28.640628989230958,,peeped,VC,,peeped,VC
28,into,into,into,"28,6195","28,835",into,,"13,24",1,1,3,2,6,4,4,9,2,5,0,minor,"5,470980129",into,IN,"3,474803226","2,798877229","1,906806658","1,938248707",1,in,28.640628989230958,28.76229796545581,,into,VMOD,,into,VMOD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,to,28.76229796545581,28.898005669706606,,,,,,
29,the,the,the,"28,835","28,9427",the,,"16,96",1,1,4,2,5,4,4,10,3,6,0,minor,"1,837016907",the,DT,"1,482569865","2,798877229","1,448510136","1,393761439",1,the,28.898005669706606,29.04775210198335,,the,NMOD,,the,NMOD
30,book,book,book,"28,9427","29,2899",book,,"12,16",2,2,2,3,3,1,5,11,2,7,1,NN|VB,"6,926955149",book,NN,"10,42158604","7,383848892","1,118174284","0,8243397787",3,book,29.04775210198335,29.326186874497918,,book,PMOD,,book,PMOD
31,her,her,her,"29,2899","29,3737",her,,"13,3",1,1,8,2,14,12,5,13,13,7,0,minor,"5,091030514",her,PRP$,"4,697206326","3,798890531","7,899777545","8,422283615",1,her,29.326186874497918,29.419778394670878,,her,NMOD,,her,NMOD
32,sister,sister,sister,"29,3737","29,7688",sister,,"9,75",2,2,2,3,4,3,4,15,12,8,1,NN,"6,748239724",sister,NN,"5,148290942","2,798877229","0,6543633619","0,416480091",1,sister,29.419778394670878,29.75841311278646,,sister,SUB,,sister,SUB
33,was,was,was,"29,7688","30,0203",is,,"14,56",1,1,3,2,3,3,5,14,12,8,0,VB,"3,517438271",was,VBD,"5,059761559","5,60621873","3,51898487","3,237820197",1,was,29.75841311278646,30.02514894527941,,was,VMOD,,was,VMOD
34,reading,reading,reading,"30,0203","30,4752",reading,,"11,54",4,4,3,5,12,9,4,18,11,9,1,NN|VB,"9,830711569",reading,VBG,"8,275354735","2,798877229","4,019964846","3,645284576",4,reading,30.02514894527941,30.46320458355538,,reading,VC,,reading,VC
35,but,but,but,"30,8703","30,9859",but,,"14,57",1,1,3,3,15,33,2,2,9,9,0,minor,"5,457580925",but,CC,"3,474803226","3,798890531","4,977510619","4,181344112",0,but,30.925291157067356,31.01015806773444,,but,VMOD,,but,VMOD
36,it,it,it,"30,9859","31,0739",it,,"15,37",2,2,4,3,5,3,2,4,9,10,0,minor|NN,"3,863101514",it,PRP,"3,080394025","2,798877229","2,434661032","3,043344561",0,it,31.01015806773444,31.06163340382957,,it,SUB,,it,SUB
37,had,had,had,"31,0739","31,3493",had,,"13,53",1,1,3,2,4,1,4,5,10,11,0,VB,"4,032075798",had,VBD,"5,130717943","7,120818626","1,639557543","0,9806863245",1,had,31.06163340382957,31.351767116365757,,had,ROOT,,had,ROOT
38,no,no,no,"31,3493","31,481",no,,"13,96",1,1,3,2,14,11,4,8,12,12,0,minor|RB,"5,698500839",no,DT,"5,526891087","6,886356941","2,245693153","2,991921114",1,no,31.351767116365757,31.618502948858705,,no,NMOD,,no,NMOD
39,pictures,pictures,pictures,"31,481","31,9874",picture,,"10,46",1,1,2,2,9,4,4,11,11,13,1,NN|VB,"8,422012144",pictures,NNS,"8,381689653","5,120818597","4,136730618","5,255190588",0,pictures,31.618502948858705,32.00222818156785,,pictures,NMOD,,pictures,NMOD
40,or,or,or,"31,9874","32,0924",or,,"14,78",1,1,2,2,2,5,4,10,10,14,0,minor,"4,75617781",or,CC,"1,751805493","2,798877229","2,743301372","3,658539069",2,or,32.00222818156785,32.123897157792705,,or,NMOD,,or,NMOD
41,conversations,conversations,conversations,"32,0924","32,9418",conversation,,"8,44",2,2,2,3,8,4,3,13,9,15,1,NN,"7,811866074",conversations,NNS,"6,018602884","1,325934311","4,998870617","1,987502935",1,conversations,32.123897157792705,32.98025956737532,,conversations,OBJ,,conversations,OBJ
42,in,in,in,"32,9418","33,0724",in,,"15,9",1,1,3,2,8,14,3,9,9,13,0,minor|RB|JJ,"3,696135436",in,IN,"2,889851551","3,798890531","2,342341329","2,323373119",0,in,32.98025956737532,33.101928543600174,,in,NMOD,,in,NMOD
43,it,it,it,"33,0724","33,2737",it,,"15,37",6,6,3,7,8,19,2,10,8,14,0,minor|NN,"2,888060036",it,PRP,"5,509251649","2,798877229","2,127761383","2,23092386",4,it,33.101928543600174,33.29379115995475,,it,PMOD,,it,PMOD
44,and,and,and,"33,8366","34,0028",and,,"16,19",1,1,4,3,2,0,2,1,7,9,0,minor,"2,329224144",and,CC,"4,825864601","3,325947628","5,214995258","3,973424633",0,and,33.841301552966584,34.00080241402463,,and,VMOD,,and,VMOD
45,what,what,what,"34,0028","34,1696",what,,"14,1",2,2,4,3,3,1,3,2,7,10,0,minor,"5,513383397",what,WP,"7,168023224","7,191210282","6,543201769","7,307112353",1,what's,34.00080241402463,34.37516849471648,,what,VMOD,,what,VMOD
46,is,’s,'s,"34,1696","34,2858",is,,"15,68",1,1,4,2,5,1,6,3,7,11,0,VB,"4,763411148",is,VBZ,"4,333654516","5,383848863","2,601837064","0,779051933",,,,,,is,VMOD,,is,VMOD
47,the,the,the,"34,2858","34,4659",the,,"16,96",1,1,4,2,9,10,4,4,8,12,0,minor,"2,087346427",the,DT,"3,171368348","1,371059383","2,218343719","1,955639001",1,the,34.37516849471648,34.4547212868635,,the,NMOD,,the,NMOD
48,use,use,use,"34,4659","34,7854",use,,"13,43",2,2,2,3,3,1,5,5,7,13,1,VB,"5,951523688",use,NN,"8,902302224","4,026376167","1,118174284","0,9413214765",2,use,34.4547212868635,34.77761203146023,,use,PRD,,use,PRD
49,of,of,of,"34,7854","34,8812",of,,"16,21",1,1,3,2,8,6,5,7,7,13,0,minor,"3,709750561",of,IN,"2,402454939","0,5637046223","2,064794236","1,877723178",0,of,34.77761203146023,34.97415422382345,,of,NMOD,,of,NMOD
50,a,a,a,"34,8812","35,093",a,,"16,18",1,1,3,2,5,4,5,8,7,14,0,minor|NN,"2,792653605",a,DT,"4,671029533","2,325934326","1,448510136","1,551038125",1,a,34.97415422382345,35.030309135927226,,a,NMOD,,a,NMOD
51,book,book,book,"35,093","35,4897",book,,"12,16",9,0,2,10,3,1,6,9,6,15,1,NN|VB,"6,913716216",book,NN,"8,634355504","7,120818626","1,118174284","0,8243397787",3,book,35.030309135927226,35.540382920869874,,book,PMOD,,book,PMOD
52,thought,thought,thought,"35,4897","35,9061",think,,"12,07",2,2,4,4,34,41,5,3,4,9,1,VB|NN,"5,890713125",thought,VBN,"4,697206326","4,383848849","6,729860908","6,377570434",1,thought,35.540382920869874,35.93814688160497,,thought,VMOD,,thought,VMOD
