Order,Text,AUDIOTEXT,TXTGRDTXT,StartTime,EndTime,stem,,LogFrqHAL,Close Brackets 3,Close Brackets Truncated,TDP,BUP,TDX,BUX,TDXStack,BUXStack,TDPennStack,BUPennStack,LexFunc,POS,EARLYX_SURPRISAL,Ngram Text,Ngram POS,2-gram lex,3-gram lex,2-gram pos,3-gram pos,Break Strength (post-word),Word,StartTimeCorrected,EndTimeCorrected,,TB-word,TB-arclabel,,TB-full-word,TB-full-arclabel
611,practice,practice,practice,"220,5193","221,0342",practice,,"10,7",2,2,2,3,1,1,2,7,2,16,1,NN|VB,"10,3760912",practice,NN,"6,474803269","3,798890531","1,281995168","3,07673326",3,practice,220.57987755272822,221.0732814837831,,practice,PRD,,practice,PRD
612,to,to,to,"221,0342","221,1062",to,,"16,35",1,1,4,2,12,8,3,10,2,16,0,minor,"3,2606185",to,TO,"1,889851537","2,798877229","4,870046245","4,70441491",0,to,221.0732814837831,221.14469521064632,,to,VMOD,,to,VMOD
613,say,say,say,"221,1062","221,3949",say,,"12,79",1,1,3,2,6,3,4,12,3,17,1,VB|NN,"5,795823869",say,VB,"5,112945627","2,798877229","0,7199282567","0,6619572895",1,say,221.14469521064632,221.38815109767995,,say,NMOD,,say,NMOD
614,it,it,it,"221,3949","221,5064",it,,"15,37",2,2,3,3,7,6,3,14,2,18,0,minor|NN,"3,554535743",it,PRP,"3,904959695","3,7171711","2,453014685","2,653519621",1,it,221.38815109767995,221.55694717935663,,it,OBJ,,it,OBJ
615,over,over,over,"221,5064","221,8722",over,,"13,02",12,0,4,14,20,36,3,15,1,19,0,minor|RB|NN,"5,883211829",over,RP,"7,449290876","4,798890545","6,508720155","4,066106427",4,over,221.55694717935663,221.9107697351789,,over,VMOD,,over,VMOD
616,yes,yes,yes,"222,3512","222,6358",yes,,"12,19",2,2,5,3,2,0,2,1,5,1,0,minor|NN,"10,22626237",yes,UH,"7,211773017","4,798890545","8,712254718","6,013387457",4,yes,222.3437417589182,222.67484176528401,,yes,VMOD,removed quote,yes,VMOD
617,that,that,that,"222,842","223,0876",that,,"15,48",2,2,3,3,5,3,2,3,4,2,0,minor|NN,"4,731045028",that,DT,"3,452247334","2,798877229","4,808789891","1,059176842",1,that 's,222.8923290243674,223.17149177483267,,that,SUB,,that,SUB
618,is,s,'s,"223,0876","223,1533",is,,"15,68",1,1,3,2,8,6,2,5,4,3,0,VB,"6,160482858",'s,VBZ,"3,213188101","1,325934311","6,101983279","1,228645003",,,,,,'s,VMOD,,'s,VMOD
619,about,about,about,"223,1533","223,4407",about,,"14,08",1,1,3,2,9,6,3,7,4,4,0,minor|RB|JJ,"5,658212053",about,IN,"9,511909249","7,886356955","3,914958698","4,187722214",2,about,223.17149177483267,223.46039276077929,,about,PRD,,about,PRD
620,the,the,the,"223,4407","223,5365",the,,"16,96",1,1,3,2,2,1,3,8,5,5,0,minor,"2,07862613",the,DT,"3,556024368","2,798877229","1,448510136","1,68949941",1,the,223.46039276077929,223.583743743543,,the,NMOD,,the,NMOD
621,right,right,right,"223,5365","223,8358",right,,"12,87",1,1,2,2,5,3,3,10,4,6,0,NN|JJ|RB|VB,"5,822990773",right,JJ,"7,211773017","5,79889056","2,425519086","2,414520182",1,right,223.583743743543,223.836937866058,,right,NMOD,,right,NMOD
622,distance,distance,distance,"223,8358","224,4584",distance,,"10,3",5,5,2,6,5,17,2,11,3,7,1,NN|VB,"6,708424148",distance,NN,"6,844035577","6,258313215","1,281995168","0,5156330008",4,distance,223.836937866058,224.50238395728334,,distance,PMOD,,distance,PMOD
623,but,but,but,"224,9014","225,069",but,,"14,57",1,1,2,2,2,0,2,1,2,2,0,minor,"4,177940702",but,CC,"4,889844936","2,798877229","3,144905869","3,281191291",2,but,224.93149403217467,225.09627067883088,,but,VMOD,,but,VMOD
624,then,then,then,"225,069","225,2319",then,,"13,47",2,2,4,3,2,1,2,2,3,3,0,RB|JJ,"5,972118469",then,RB,"5,388599221","2,798877229","3,116921946","3,387104324",1,then,225.09627067883088,225.2488363680386,,then,VMOD,,then,VMOD
625,I,I,I,"225,2319","225,3715",I,,"15,79",2,2,3,3,2,1,2,3,2,4,0,minor|NN,"3,822760049",i,PRP,"4,542304819","2,647862377","3,631830767","2,205315117",1,I,225.2488363680386,225.36894127230858,,I,SUB,,I,SUB
626,wonder,wonder,wonder,"225,3715","225,7275",wonder,,"10,86",1,1,3,2,4,1,4,4,2,5,1,NN|VB,"6,4942502",wonder,VBP,"5,388466344","5,120818597","2,544058768","2,179779455",3,wonder,225.36894127230858,225.73899422059972,,wonder,ROOT,,wonder,ROOT
627,what,what,what,"225,7275","225,8983",what,,"14,1",2,2,4,3,16,13,3,8,2,6,0,minor,"4,84519263",what,WP,"1,364013573","1,787044506","5,093379471","4,672391523",2,what,225.73899422059972,225.943497165708,,what,VMOD,,what,VMOD
628,latitude,Latitude,Latitude,"225,8983","226,543",latitude,,"7,96",2,2,5,3,5,3,3,10,4,7,1,NN,"9,587168846",latitude,VBP,"6,891373052","5,60621873","3,386107746","5,307112324",1,latitude,225.943497165708,226.5602520795266,,Latitude,NMOD,,Latitude,NMOD
629,or,or,or,"226,543","226,6614",or,,"14,78",1,1,2,2,2,2,3,10,3,8,0,minor,"5,941372463",or,CC,"2,889851551","3,798890531","6,756336675","5,229113453",1,or,226.5602520795266,226.67711090530275,,or,NMOD,,or,NMOD
630,longitude,Longitude,Longitude,"226,6614","227,2991",longitude,,"6,95",2,2,4,3,4,3,2,12,3,9,1,NN,"8,886436878",longitude,VB,"6,018602884","2,798877229","4,636282165","3,64415512",2,longitude,226.67711090530275,227.32632660405918,,Longitude,NMOD,,Longitude,NMOD
631,I,I,I,"227,2991","227,4305",I,,"15,79",2,2,5,3,5,7,2,10,3,10,0,minor|NN,"3,156535677",i,PRP,"2,889851551","3,798890531","2,453014685","2,171368333",,,,,,,,,,
632,have,ve,'ve,"227,4305","227,4995",have,,"14,92",1,1,3,2,3,1,3,11,3,11,0,VB|NN,"6,741926899",'ve,VBP,"4,001428487","2,798877229","2,544058768","4,165631392",2,I 've,227.32632660405918,227.54428409068217,,I've,SUB,combined,I've,SUB
633,got,got,got,"227,4995","227,8355",got,,"12,61",1,1,3,2,11,8,3,14,3,12,1,VB,"6,9047786",got,VBN,"2,875912741","2,503943165","3,726572156","3,598378951",2,got,227.54428409068217,227.82344684114744,,got,VC,,got,VC
634,to,to,to,"227,8355","228,1548",to,,"16,35",1,1,3,2,17,33,3,16,3,13,0,minor,"3,487780612",to,TO,"2,171368333","0,6715676275","3,329502091","2,808799828",4,to,227.82344684114744,228.1610390045008,,to,VMOD,,to,VMOD
635,Alice,Alice,Alice,"228,8883","229,3123",Alice,,"8,65",9,0,4,11,6,2,3,2,2,15,1,NN,"4,407966971",alice,NNP,"4,260040589","4,260040589","3,226499067","3,226499067",2,Alice,228.9730299709749,229.32685252679713,,Alice,SUB,,Alice,SUB
636,had,had,had,"229,3123","229,4869",had,,"13,53",1,1,3,2,5,1,6,3,2,8,0,VB,"4,133008015",had,VBD,"5,171378343","4,495997142","2,136793706","0,9052287278",3,had,229.32685252679713,229.55083194286811,,had,ROOT,,had,VMOD
637,not,no,no,"229,7264","230,0759",not,,"14,77",1,1,4,2,3,4,4,4,5,9,0,RB,"5,75374018",no,DT,"5,526891087","2,784300608","2,245693153","2,610251508",1,no,229.55083194286811,230.10591136530485,,no,NMOD,,no,NMOD
638,the,,,,,the,,"16,96",1,1,2,2,25,27,3,3,4,10,0,minor,0,,,0,0,0,0,,,,,,,,,,
639,slightest,,,,,slight,,"8,06",1,1,2,2,5,3,3,5,3,11,1,JJ,0,,,0,0,0,0,,,,,,,,,,
640,idea,idea,idea,"230,0759","230,4088",idea,,"11,8",2,2,2,3,2,1,3,6,2,12,1,NN|minor,"6,357173298",idea,NN,"4,724379698","2,647862377","1,118174284","1,504428152",1,idea,230.10591136530485,230.42727313618929,,idea,OBJ,,idea,OBJ
641,what,what,what,"230,4088","230,5645",what,,"14,1",2,2,4,3,3,1,4,7,2,10,0,minor,"5,767231273",what,WP,"2,139421351","1,324867972","7,09244936","6,470684078",2,what,230.42727313618929,230.58957706087838,,what,NMOD,,what,VMOD
642,latitude,Latitude,Latitude,"230,5645","231,1272",latitude,,"7,24",2,2,5,3,11,7,4,11,5,11,1,NN,"9,307457811",latitude,NNP,"6,891373052","4,798890545","6,556024411","5,451483319",1,latitude,230.58957706087838,231.1673790327716,,Latitude,SUB,,Latitude,SUB
643,was,was,was,"231,1272","231,5582",is,,"14,56",1,1,3,2,17,14,4,14,6,12,0,VB,"4,278140881",was,VBD,"2,889851551","3,798890531","2,136793706","2,059176856",4,was,231.1673790327716,231.61209178641977,,was,SBAR,,was,SBAR
644,or,or,or,"231,8935","232,0371",or,,"14,78",1,1,4,3,4,11,3,8,6,14,0,minor,"6,419060411",or,CC,"10,4134141","2,798877229","5,614922182","5,669136048",1,or,231.9297490946288,232.0368696849236,,or,NMOD,,or,NMOD
645,longitude,Longitude,Longitude,"232,0371","232,6118",longitude,,"6,95",1,1,2,2,14,9,3,13,5,15,1,NN,"9,094964598",longitude,VBP,"6,018602884","2,798877229","7,320798697","6,644155163",1,longitude,232.0368696849236,232.62116381380437,,Longitude,DEP,,Longitude,PRD
646,either,either,either,"232,6118","233,0429",either,,"12,17",4,4,2,5,41,56,2,16,4,16,0,minor|RB,"7,569150914",either,RB,"2,889851551","3,798890531","2,422429693","1,602773833",4,either,232.62116381380437,233.07886088142766,,either,NMOD,,either,NMOD
647,but,but,but,"233,6535","233,8091",but,,"14,57",1,1,3,3,2,0,2,1,2,13,0,minor,"5,679269633",but,CC,"5,211772988","2,798877229","4,428728098","7,978042171",2,but,233.69561579524625,233.84880956999575,,but,VMOD,,but,VMOD
648,she,,,,,she,,"13,1",2,2,4,3,5,3,2,3,2,14,0,minor,0,,,0,0,0,0,,,,,,,,,,
649,thought,thought,thought,"233,8091","234,0366",think,,"12,07",1,1,3,2,4,1,4,4,2,15,1,VB|NN,"5,357973582",thought,VBD,"9,290735277","2,798877229","2,718755645","2,382872173",1,thought,233.84880956999575,234.06629682907914,,thought,VMOD,,thought,VMOD
650,they,they,they,"234,0366","234,1563",they,,"14,3",2,2,5,3,18,15,2,9,2,16,0,minor,"5,097794794",they,PRP,"8,099292546","2,798877229","3,83357146","3,162907397",1,they,234.06629682907914,234.2188625182869,,they,SUB,,they,SUB
651,were,were,were,"234,1563","234,2761",were,,"13,41",1,1,3,2,4,1,4,10,3,17,0,VB,"5,929386731",were,VBD,"3,00144176","2,798877229","1,639557543","2,782802419",1,were,234.2188625182869,234.35844389351954,,were,VMOD,,were,VMOD
652,nice,nice,nice,"234,2761","234,6113",nice,,"11,64",1,1,3,2,18,13,5,14,4,18,1,JJ,"9,029686781",nice,JJ,"8,316114793","7,046806068","5,317244205","5,069926658",2,nice,234.35844389351954,234.58891546657807,,nice,NMOD,,nice,NMOD
653,grand,grand,grand,"234,6113","234,9585",grand,,"10,01",1,1,2,2,2,1,5,15,3,19,1,JJ|NN,"9,233610953",grand,JJ,"4,47480324","2,798877229","3,786167546","4,67807202",1,grand,234.58891546657807,235.03362822022623,,grand,NMOD,,grand,NMOD
654,words,words,words,"234,9944","235,4261",word,,"11,51",2,2,2,3,11,10,4,17,2,20,1,NN,"5,099128969",words,NNS,"3,474803226","2,798877229","3,549579827","2,200222601",2,words,235.03362822022623,235.4361419534552,,words,PRD,,words,PRD
655,to,to,to,"235,4261","235,5343",to,,"16,35",1,1,4,2,10,11,3,17,2,19,0,minor,"3,186412163",to,TO,"6,282164659","2,798877229","5,342324762","4,311297939",1,to,235.4361419534552,235.55300077923135,,to,VMOD,,to,VMOD
656,say,say,say,"235,5343","235,9291",say,,"12,79",17,0,4,19,20,39,4,19,1,20,1,VB|NN,"5,913919584",say,VB,"5,112945627","2,798877229","0,7199282567","0,5039431359",4,say,235.55300077923135,235.9587605909541,,say,NMOD,,say,NMOD
657,presently,Presently,Presently,"236,8861","237,3411",present,,"8,85",2,2,4,3,5,2,2,2,3,1,1,RB,"9,971425303",presently,RB,"10,4197922","10,4197922","3,875029123","3,875029123",3,presently,236.91110480186896,237.37792497827868,,Presently,VMOD,,Presently,VMOD
658,she,she,she,"237,3411","237,5805",she,,"13,1",2,2,3,3,2,1,2,3,2,2,0,minor,"3,702949708",she,PRP,"2,889851551","3,798890531","3,631830767","1,510457451",1,she,237.37792497827868,237.62462694380613,,she,SUB,,she,SUB
659,began,began,began,"237,5805","237,9876",begin,,"10,61",1,1,3,2,4,1,4,4,2,3,1,VB,"5,045987714",began,VBD,"5,414742795","2,798877229","1,639557543","1,450426889",1,began,237.62462694380613,237.99792597059107,,began,ROOT,,began,ROOT
660,again,again,again,"237,9876","238,4785",again,,"12,43",3,3,4,5,16,22,1,8,1,4,1,RB,"5,270305136",again,RB,"5,206922973","4,026376167","2,752805408","2,449772483",4,again,237.99792597059107,238.46922247888438,,again,VMOD,,again,VMOD
661,I,I,I,"239,3166","239,4532",I,,"15,79",2,2,5,3,5,2,2,2,4,1,0,minor|NN,"3,282339229",i,PRP,"3,311889228","3,311889228","2,088240405","2,088240405",1,I,239.354786780992,239.45511431629006,,I,SUB,,I,SUB
662,wonder,wonder,wonder,"239,4532","239,8493",wonder,,"10,86",1,1,3,2,4,1,4,3,4,2,1,NN|VB,"6,460208048",wonder,VBP,"5,388466344","4,774042523","2,544058768","1,628449015",2,wonder,239.45511431629006,239.79919863663096,,wonder,ROOT,,wonder,ROOT
663,if,if,if,"239,8493","239,963",if,,"14,65",1,1,3,2,15,13,2,7,4,3,0,minor,"5,816423294",if,IN,"3,518851992","3,025309813","4,296913991","4,276450914",2,if,239.79919863663096,239.9744868752952,,if,VMOD,,if,VMOD
664,I,I,I,"239,963","240,1217",I,,"15,79",2,2,4,3,2,1,2,8,4,4,0,minor|NN,"3,064717574",i,PRP,"2,126974086","0,9098295982","2,127761383","1,723907941",1,I,239.9744868752952,240.10757609354027,,I,SUB,,I,SUB
665,shall,shall,shall,"240,1217","240,4301",shall,,11,1,1,3,2,3,1,3,9,4,5,0,VB,"6,554331627",shall,MD,"5,088894868","4,785370298","2,904501254","3,150307324",1,shall,240.10757609354027,240.40621531496822,,shall,SBAR,,shall,SBAR
666,fall,fall,fall,"240,5139","240,8371",fall,,"10,74",1,1,3,2,1,1,3,12,4,6,1,NN|VB,"8,354188863",fall,VB,"6,533701054","6,798890574","0,7819087911","0,7785038148",3,fall,240.40621531496822,240.87365061807284,,fall,VC,,fall,VC
667,right,right,right,"240,8371","241,0766",right,,"12,87",1,1,4,2,7,6,2,14,5,7,1,NN|JJ|RB|VB,"7,414056254",right,NN,"4,697206326","2,798877229","5,032255994","4,393748195",2,right,240.87365061807284,241.12359866209408,,right,VMOD,,right,VMOD
668,through,through,through,"241,0766","241,6034",through,,"12,63",1,1,3,2,3,1,3,15,5,8,1,minor|NN|JJ,"11,06956364",through,VB,"6,844035577","2,798877229","6,840912964","6,451483334",2,through,241.12359866209408,241.64946337808678,,THROUGH,VMOD,,THROUGH,VMOD
669,the,the,the,"241,6034","241,7933",the,,"16,96",1,1,3,2,5,4,3,16,5,9,0,minor,"2,58108392",the,DT,"0,8087997991","2,798877229","2,759223373","5,703019715",1,the,241.64946337808678,241.83448985223237,,the,NMOD,,the,NMOD
670,earth,earth,earth,"241,7933","242,1781",earth,,"11,03",3,3,2,4,8,26,2,18,4,10,1,NN|VB,"7,46543962",earth,NN,"8,902302224","5,79889056","1,118174284","0,7242666948",4,Earth,241.83448985223237,242.3571084897313,,earth,PMOD,,earth,PMOD
671,how,How,How,"242,7648","242,9683",how,,"13,52",1,1,5,3,3,0,3,1,5,10,0,minor,"5,874632652",how,WRB,"6,277115328","6,277115328","4,647078431","4,647078431",2,how,242.75870545459694,242.98840478661774,,How,ROOT,,How,ROOT
672,funny,funny,funny,"243,124","243,4113",fun,,"10,51",2,2,2,3,1,1,2,2,4,11,1,JJ,"9,321976526",funny,JJ,"5,839285205","7,191210282","3,47460391","3,438859964",1,funny,242.98840478661774,243.46882440369748,,funny,AMOD,,funny,AMOD
673,it,it,it,"243,4113","243,5307",it,,"15,37",2,2,4,3,5,4,2,3,4,10,0,minor|NN,"4,207729409",it,PRP,"1,336770441","1,325934311","4,335846988","0,6644088725",1,it 'll,243.46882440369748,243.67332734880577,,it'll,SUB,combined ,it'll,SUB
674,will,ll,'ll,"243,5307","243,6508",will,,"14,35",1,1,3,2,3,1,3,4,4,11,0,VB|NN,"4,975601628",'ll,MD,"6,218184324","1,325934311","2,904501254","2,022506092",,,,,,,,,,
675,seem,seem,seem,"243,6508","243,962",seem,,"11,71",1,1,3,2,11,8,3,7,4,12,1,VB,"7,703147063",seem,VB,"5,584692636","3,325947628","0,7819087911","0,7785038148",3,seem,243.67332734880577,243.99144304119642,,seem,VC,,seem,VC
676,to,to,to,"243,962","244,0578",to,,"16,35",1,1,4,2,14,10,3,11,4,13,0,minor,"4,022668252",to,TO,"0,1940886318","3,798890531","4,447264456","4,113643218",0,to,243.99144304119642,244.06285676805962,,to,VMOD,,to,VMOD
677,come,come,come,"244,0578","244,2932",come,,"12,35",1,1,3,2,6,3,4,13,4,14,1,VB|NN,"6,601697563",come,VB,"6,69790396","5,60621873","0,7199282567","0,7307942835",1,come,244.06285676805962,244.32903520454974,,come,VMOD,,come,VMOD
678,out,out,out,"244,2932","244,4509",out,,"13,9",1,1,3,2,7,6,3,15,4,15,0,minor|JJ,"4,221433948",out,RP,"7,413414052","5,60621873","3,948809146","3,573364832",1,out,244.32903520454974,244.45563226580725,,out,VMOD,,out,VMOD
679,among,among,among,"244,4509","244,7642",among,,"11,01",1,1,3,2,3,2,4,15,4,16,1,minor,"6,552599723",among,IN,"8,710029026","2,798877229","1,512576841","1,619197446",1,among,244.45563226580725,244.7964705076544,,among,VMOD,,among,VMOD
680,the,the,the,"244,7642","244,872",the,,"16,96",1,1,4,2,5,4,4,16,5,17,0,minor,"1,824752278",the,DT,"0,5864066789","2,798877229","1,448510136","0,9916619749",1,the,244.7964705076544,244.94254403987458,,the,NMOD,,the,NMOD
681,people,people,people,"244,872","245,3868",people,,"13,55",2,2,2,3,3,1,5,17,4,18,1,NN|VB,"7,046646909",people,NNS,"10,42158604","5,79889056","4,136730618","3,690163824",3,people,244.94254403987458,245.34505777310355,,people,PMOD,,people,PMOD
682,that,that,that,"245,3868","245,5544",that,,"15,48",2,2,4,3,10,10,4,18,4,18,0,minor|NN,"4,523767115",that,WDT,"5,590306695","3,798890531","6,429791143","7,001229214",2,that,245.34505777310355,245.5809468767842,,that,NMOD,,that,NMOD
683,walk,walk,walk,"245,5544","245,8298",walk,,"10,41",1,1,4,2,7,3,6,20,5,19,1,NN|VB,"9,047890883",walk,VBP,"10,18905107","2,798877229","4,35192512","2,643683392",1,walk,245.5809468767842,245.86660178423702,,walk,SBAR,,walk,SBAR
684,with,with,with,"245,8298","245,9735",with,,"14,97",1,1,3,2,18,15,5,24,5,20,0,minor|JJ,"5,137457177",with,IN,"4,211772974","2,798877229","4,296913991","3,381091634",2,with,245.86660178423702,246.02890570892612,,with,VMOD,,with,VMOD
685,their,their,their,"245,9735","246,1411",there,,"14,09",1,1,3,2,5,4,5,25,6,21,0,minor|RB,"5,389550465",their,PRP$,"5,732385559","2,798877229","3,822908071","4,688071024",1,their,246.02890570892612,246.17822531964012,,their,NMOD,,their,NMOD
686,heads,heads,heads,"246,1411","246,5362",head,,"9,79",1,1,2,2,9,4,5,28,5,22,1,NN|VB,"5,990257909",heads,NNS,"2,894528826","2,325934326","2,077151809","2,040122276",3,heads,246.17822531964012,246.5580165034126,,heads,PMOD,,heads,PMOD
687,downwards,downward,downward,"246,5362","247,1468",downward,,"6,49",3,3,2,4,15,49,4,28,4,23,1,RB|JJ,"10,69072463",downward,RB,"5,211772988","5,60621873","4,037471407","3,689499439",4,downward,246.5580165034126,247.2364469086131,,downward,VMOD,,downward,VMOD
688,the,The,The,"247,8293","247,9731",the,,"16,96",1,1,4,3,3,0,3,1,4,22,0,minor,"5,001498083",the,DT,"3,836561195","3,836561195","3,243178468","3,243178468",1,the,247.835741176573,247.96883039481807,,The,NMOD,,The,NMOD
689,antipodes,Antipathies,Antipathies,"247,9731","248,9667",antipodes,,"4,47",23,0,2,24,1,1,2,2,3,23,1,NN,"8,084024319",antipathies,NNPS,"12,55961218","9,631764415","6,172374935","4,4276983",3,antipathies,247.96883039481807,248.96213041391542,,Antipathies,VMOD,,Antipathies,VMOD
690,I,I,I,"248,9667","249,0744",I,,"15,79",2,2,5,4,5,4,2,3,2,3,0,minor|NN,"6,032485771",i,PRP,"1,889851537","2,798877229","3,071833416","3,182593143",2,I,248.96213041391542,249.1276804170983,,I,SUB,,I,SUB
691,think,think,think,"249,2899","249,8527",think,,"13,39",1,1,3,2,45,49,4,4,2,4,1,VB|NN,"5,6509585",think,VBP,"4,918978246","2,798877229","2,544058768","3,381091634",4,think,249.1276804170983,250.0138598459008,,think,ROOT,removed quote,think,ROOT
692,she,she,she,"250,674","250,8298",she,,"13,1",2,2,5,3,5,2,2,2,2,5,0,minor,"3,75673325",she,PRP,"7,617779069","6,968807196","2,434401922","2,943025654",1,she,250.6856531949584,250.87392574759775,,she,SUB,,she,SUB
693,was,was,was,"250,8298","251,0739",is,,"14,56",1,1,3,2,3,1,3,3,2,6,0,VB,"4,275126137",was,VBD,"3,307829832","2,798877229","1,639557543","2,586406708",1,was,250.87392574759775,251.07842869270604,,was,NMOD,,was,NMOD
694,rather,rather,rather,"251,0739","251,4211",rather,,"11,89",1,1,3,2,13,10,2,7,3,7,1,RB|minor,"6,457038053",rather,RB,"8,275354735","8,606218773","2,752805408","2,449772483",2,rather,251.07842869270604,251.4160208560594,,rather,AMOD,,rather,AMOD
695,glad,glad,glad,"251,4211","251,6845",glad,,"10,15",1,1,2,2,2,1,2,8,2,8,1,JJ,"6,840143451",glad,JJ,"6,533701054","3,798890531","3,1155666","2,404132513",3,glad,251.4160208560594,251.704921842006,,glad,PRD,,glad,PRD
696,there,there,there,"251,6845","251,8162",there,,"14,09",2,2,7,3,5,3,2,10,7,9,0,minor|RB,"6,606460422",there,EX,"5,349300811","2,798877229","10,44437447","9,001694313",1,there,251.704921842006,251.85424145271998,,there,SUB,,there,SUB
697,was,was,was,"251,8162","252,1634",is,,"14,56",1,1,3,2,4,1,4,11,8,10,0,VB,"8,129555906",was,VBD,"1,501518143","2,798877229","0,8897983718","1,059176842",2,was,251.85424145271998,252.19832577306087,,WAS,VMOD,,WAS,VMOD
698,no,no,no,"252,1634","252,2831",no,,"13,96",1,1,3,2,13,11,3,14,8,11,0,minor|RB,"5,712452497",no,DT,"5,355080966","2,323373119","2,245693153","0,9121748794",1,no,252.19832577306087,252.3411532267873,,no,NMOD,,no,NMOD
699,one,one,one,"252,2831","252,484",one,,"14,17",2,2,2,3,4,3,2,16,7,12,0,minor|NN,"5,550375741",one,CD,"4,479586817","2,494794575","7,17237495","8,597880734",1,one,252.3411532267873,252.45801205256345,,one,NMOD,,one,NMOD
700,listening,listening,listening,"252,484","252,9656",listen,,"9,83",6,6,4,7,10,8,2,18,6,12,1,VB|NN,"9,702108259",listening,NN,"8,590306738","5,120818597","2,275806431","3,965618102",3,listening,252.45801205256345,253.01309147500018,,listening,NMOD,,listening,PRD
701,this,this,this,"252,9656","253,1811",this,,"14,99",1,1,5,3,7,6,2,19,7,11,0,minor|NN,"5,767372484",this,DT,"3,474803226","2,798877229","4,899777501","4,004883292",2,this,253.01309147500018,253.21759442010847,,this,NMOD,,this,NMOD
702,time,time,time,"253,1811","253,5642",time,,"13,58",2,2,2,3,4,23,1,21,6,12,1,NN|VB,"4,718902638",time,NN,"2,897608254","2,798877229","1,118174284","1,457123896",4,time,253.21759442010847,253.56167874044937,,time,PRD,,time,PRD
703,as,as,as,"253,648","253,7863",as,,"14,79",1,1,4,3,2,0,2,1,5,13,0,minor|RB,"4,250501627",as,IN,"5,436401766","6,968807196","2,064794236","1,877723178",1,as,253.56167874044937,253.8120973838399,,as,VMOD,,as,VMOD
704,it,it,it,"253,7863","253,9234",it,,"15,37",2,2,5,3,5,3,2,3,7,14,0,minor|NN,"3,02915425",it,PRP,"3,637046194","4,383848849","2,127761383","2,421403217",2,it,253.8120973838399,253.96466307304766,,it,SUB,,it,SUB
705,did,did,did,"253,9234","254,0977",did,,"12,85",1,1,3,2,2,1,2,4,8,15,0,VB,"5,797844535",did,VBD,"7,449290876","7,191210282","1,639557543","1,219911654",2,didn 't,253.96466307304766,254.22759543104402,,did,SBAR,,did,SBAR
706,not,nt,n't,"254,0977","254,2108",not,,"14,77",1,1,3,2,2,1,2,5,8,16,0,RB,"4,286782104",n't,RB,"2,460874367","2,325934326","2,752805408","2,449772483",,,,,,n't,VMOD,,n't,VMOD
707,sound,sound,sound,"254,2108","254,5943",sound,,"11,71",2,2,2,3,6,3,3,7,7,17,1,NN|VB|JJ,"10,01033196",sound,VB,"9,65139701","6,606218745","3,024658716","3,319243977",1,sound,254.22759543104402,254.62686308577923,,sound,VC,,sound,VC
708,at,at,at,"254,5943","254,6926",at,,"14,5",1,1,3,2,7,4,5,8,7,17,0,minor,"4,634156835",at,IN,"3,474803226","2,798877229","3,102631012","3,391024199",0,at,254.62686308577923,254.71775328360513,,at,VMOD,,at,VMOD
709,all,all,all,"254,6926","254,9411",all,,"14,35",1,1,3,2,4,4,4,9,9,18,0,minor|RB,"4,204784461",all,DT,"3,085506472","2,798877229","1,448510136","1,679513694",1,all,254.71775328360513,254.95147093515743,,all,NMOD,,all,NMOD
710,the,the,the,"254,9411","255,0608",the,,"16,96",1,1,2,2,7,8,3,9,8,19,0,minor,"1,972232264",the,DT,"2,800850454","7,442746677","8,172374964","7,353121057",1,the,254.95147093515743,255.0683297609336,,the,NMOD,,the,NMOD
711,right,right,right,"255,0608","255,3003",right,,"12,87",1,1,2,2,5,3,3,11,7,20,1,NN|JJ|RB|VB,"5,545344426",right,JJ,"7,211773017","7,499319113","2,425519086","1,368086257",1,right,255.0683297609336,255.3410003544113,,right,NMOD,,right,NMOD
712,word,word,word,"255,3362","255,6595",word,,"11,84",5,5,2,6,5,18,2,12,6,21,1,NN,"6,471287407",word,NN,"6,844035577","6,258313215","1,281995168","0,5156330008",4,word,255.3410003544113,255.688330753246,,word,PMOD,removed quote,word,PMOD
713,but,but,But,"256,8927","256,957",but,,"14,57",1,1,2,2,2,0,2,1,5,15,0,minor,"4,437060285",but,CC,"3,073733559","2,798877229","3,144905869","3,281191291",0,but,256.9028354529491,256.9892485752321,,but,VMOD,,but,VMOD
714,I,I,I,"256,957","257,1222",I,,"15,79",2,2,4,3,6,3,3,3,5,16,0,minor|NN,"3,635352856",i,PRP,"3,010005691","3,798890531","2,434661032","2,817732493",2,I,256.9892485752321,257.16453681389635,,I,SUB,,I,SUB
715,shall,shall,shall,"257,1222","257,3237",shall,,11,1,1,3,2,3,1,4,4,5,17,0,VB,"6,225625334",shall,MD,"5,088894868","4,718234131","2,904501254","2,65053653",1,shall,257.16453681389635,257.37228583749845,,shall,NMOD,,shall,VMOD
716,have,have,have,"257,3237","257,4913",have,,"14,92",1,1,3,2,11,8,4,7,5,18,0,VB|NN,"5,065615072",have,VB,"2,876384455","3,324884611","0,7819087911","0,7785038148",1,have,257.37228583749845,257.5345897621876,,have,VC,,have,VC
717,to,to,to,"257,4913","257,6298",to,,"16,35",1,1,4,2,10,8,3,10,5,19,0,minor,"3,965671522",to,TO,"3,875926043","2,325934326","4,447264456","4,113643218",2,to,257.5345897621876,257.69040152988913,,to,VMOD,,to,VMOD
